AL, 19, 2012102400, 03, TRTS,   0, 264N,  498W,  35
AL, 19, 2012102400, 03, TRTS,  12, 281N,  470W,  43
AL, 19, 2012102400, 03, TRTS,  24, 293N,  438W,  48
AL, 19, 2012102400, 03, TRTS,  36, 302N,  407W,  49
AL, 19, 2012102400, 03, TRTS,  48, 309N,  380W,  44
AL, 19, 2012102400, 03, TRTS,  60, 336N,  333W,  39
AL, 19, 2012102400, 03, TRTD,   0, 264N,  498W,  35
AL, 19, 2012102400, 03, TRTD,  12, 281N,  470W,  43
AL, 19, 2012102400, 03, TRTD,  24, 293N,  438W,  48
AL, 19, 2012102400, 03, TRTD,  36, 302N,  407W,  49
AL, 19, 2012102400, 03, TRTD,  48, 309N,  380W,  44
AL, 19, 2012102400, 03, TRTD,  60, 336N,  333W,  39
AL, 19, 2012102400, 03, TRTG,   0, 264N,  498W,  35
AL, 19, 2012102400, 03, TRTG,  12, 281N,  470W,  39
AL, 19, 2012102400, 03, TRTG,  24, 293N,  438W,  41
AL, 19, 2012102400, 03, TRTG,  36, 302N,  407W,  39
AL, 19, 2012102400, 03, TRTG,  48, 309N,  380W,  35
AL, 19, 2012102400, 03, TRTG,  60, 336N,  333W,  32
