AL, 19, 2012102400, 50, FIM9,   0, 264N,  499W,  29, 1007,   ,  34, NEQ,    0,    0,    0,    0,
AL, 19, 2012102400, 50, FIM9,   6, 273N,  487W,  33, 1005,   ,  34, NEQ,    0,    0,    0,    0,
AL, 19, 2012102400, 50, FIM9,  12, 281N,  470W,  37, 1006,   ,  34, NEQ,    0,    0,    0,    0,
AL, 19, 2012102400, 50, FIM9,  18, 288N,  453W,  37, 1003,   ,  34, NEQ,    0,    0,    0,    0,
AL, 19, 2012102400, 50, FIM9,  24, 293N,  439W,  37, 1004,   ,  34, NEQ,    0,    0,    0,    0,
AL, 19, 2012102400, 50, FIM9,  30, 298N,  425W,  36, 1003,   ,  34, NEQ,    0,    0,    0,    0,
AL, 19, 2012102400, 50, FIM9,  36, 302N,  408W,  35, 1005,   ,  34, NEQ,    0,    0,    0,    0,
AL, 19, 2012102400, 50, FIM9,  42, 306N,  393W,  33, 1004,   ,  34, NEQ,    0,    0,    0,    0,
AL, 19, 2012102400, 50, FIM9,  48, 309N,  380W,  32, 1006,   ,  34, NEQ,    0,    0,    0,    0,
AL, 19, 2012102400, 50, FIM9,  60, 321N,  349W,  27, 1007,   ,  34, NEQ,    0,    0,    0,    0,
AL, 19, 2012102400, 50, FIM9,  72, 336N,  334W,  23, 1005,   ,  34, NEQ,    0,    0,    0,    0,
AL, 19, 2012102400, 50, FIM9,  84, 362N,  342W,  29, 1004,   ,  34, NEQ,    0,    0,    0,    0,
