SPD tau:     0.0  storm: 91L     304.8      40.6
H       0.73     238.64      25.83    25.1503      5.040      7.748    
L       0.38     238.97      24.99    3.77333      3.942      41.18    
L       4.46     244.04      24.51   0.441245     0.9976      6.270    
L       4.71     243.15      28.42    6.96838      2.089      4.745    
L       5.80     244.41      22.01    3.49216     0.4395      1.237    
L       6.36     239.59      31.65    5.69106     0.8914      1.464    
L       6.87     245.62      29.13    2.59852      4.329      8.859    
L       7.26     246.49      28.55    1.14512      1.202      6.929    
L       7.59     244.24      31.46  -0.805714E-01  3.974      5.647    
L       7.69     247.54      27.08   0.881475      1.497      6.735    
L       7.97     243.45      32.35    1.41569      4.005      10.93    
L       9.51     247.26      31.65   0.619208      1.369      1.424    
VRT tau:     0.0  storm: 06E     239.2      25.3
  14   12
H       9.07     246.33      31.86    2.70619      2.297      3.323    
H       7.88     246.96      21.90   0.134546     0.2362      1.208    
H       7.58     236.57      32.52    4.70660     0.2481     0.9874    
H       7.28     238.47      32.56    3.81388     0.3020      1.410    
H       7.10     245.28      29.92    7.14516      5.341      10.31    
H       7.06     246.97      24.74    2.28078      1.001      1.687    
H       6.28     245.55      27.98    3.95481     0.9442      5.182    
H       5.95     241.83      30.78  -0.429172      2.084      2.980    
H       5.56     245.18      26.71    2.37796      1.911      2.555    
H       4.39     243.08      27.98   0.625557     0.8237      3.112    
H       3.97     238.39      29.21   -2.01302      3.998      6.393    
H       3.62     239.85      21.73    1.54626     0.9379      1.170    
H       0.67     238.79      25.86    28.7215      6.715      8.377    
H       0.23     239.32      25.09    29.9940      8.235      14.95    
L       2.61     236.43      26.06   -3.77934     0.8082      2.910    
L       3.10     242.40      26.45   -5.93019     0.6840      3.186    
L       3.17     239.67      28.45   -18.2405      5.743      11.11    
L       3.79     235.92      27.69   -4.63282     0.6929      1.346    
L       3.94     234.92      24.63   -4.75086     0.8280      2.431    
L       4.85     244.32      23.96   -3.46988     0.7459      1.152    
L       5.29     244.06      28.32   -2.00102     0.8779      2.238    
L       6.39     243.01      30.73   -5.23630      1.304      6.162    
L       6.56     245.34      28.94  -0.175904E-01  3.499      8.513    
L       6.73     246.54      26.59   -2.68535     0.9526      3.454    
L       8.04     247.50      22.61  -0.777465     0.1315      1.438    
L       8.35     244.91      31.99   -8.42586      2.194      7.417    
PSL tau:     0.0  storm: 06E     239.2      25.3
   3    3
H       7.84     240.86      33.00    1014.74     0.4999E-01 0.9853E-01
H       7.73     247.46      23.50    1012.30     0.2002E-01 0.1442    
H       7.22     235.94      31.93    1016.10     0.3609E-01 0.1360    
L       0.23     239.12      25.08    1008.09     0.2140     0.5241    
L       6.30     245.53      22.80    1011.90     0.8063E-01 0.1346    
L       9.24     246.06      32.33    1009.57     0.1477     0.3636    
SPD tau:     0.0  storm: 99E     245.7       8.7
   9    7
H       7.51     253.26       8.06    10.1832      1.022      1.271    
H       6.23     249.20      13.90    14.5329      1.064      1.922    
H       4.47     246.96      12.99    13.0338     0.1549      1.748    
H       4.43     241.95      11.14    12.5507     0.7726      1.394    
H       4.13     244.08      12.50    12.8124     0.1229     0.6755    
H       3.95     243.23       5.60    15.1690      1.030      2.473    
H       3.93     249.57       9.62    15.2929     0.7038      1.977    
H       2.97     248.67       8.23    15.3103      1.420      1.852    
H       2.71     246.58       6.14    15.9379      1.024      1.953    
L       1.04     245.11       9.56   0.988477      2.081      5.498    
L       1.73     246.87       7.42    9.86769      1.405      3.532    
L       2.20     247.04      10.45    3.00233     0.7869      4.184    
L       3.15     242.73       7.56    3.83126      1.591      3.774    
L       4.99     249.56      11.94    4.47516      1.398      5.849    
L       5.75     251.08       6.56    11.2533     0.3449      1.354    
L       5.90     250.25      12.54    4.85954      1.186      4.047    
VRT tau:     0.0  storm: 99E     245.7       8.7
  14    8
H       9.31     251.70      15.94  -0.326093     0.1862     0.4828    
H       7.38     245.95      16.08    1.08563     0.2689     0.9355    
H       6.37     251.18      12.10    4.54429     0.4591      1.176    
H       5.64     250.19       5.25  -0.319669     0.8873      1.029    
H       5.63     251.34       9.52   -1.18538     0.3754      1.309    
H       5.13     241.84      12.16    1.71961     0.7229      1.145    
H       4.56     249.53      11.25    5.23334     0.5553     0.9881    
H       4.33     247.75       4.88   -1.81678     0.1980     0.3712    
H       4.13     243.81       5.02   0.587794      1.176      2.042    
H       3.63     247.88      11.63    4.57045     0.6458      1.234    
H       3.63     242.47       6.99    7.03230     0.1328      2.562    
H       3.56     248.74       6.81   -1.47091     0.6567     0.8325    
H       2.30     247.91       9.44    5.11534     0.6474      2.049    
H       1.56     245.50      10.25    3.95865      1.445      1.929    
L       2.61     243.25       9.67   0.302671     0.8969     0.9822    
L       3.31     248.95       7.90   -2.79226     0.7440      2.024    
L       4.09     244.00      12.44  -0.649620     0.1815     0.9045    
L       5.83     247.75      14.17   -1.96140      1.484      1.760    
L       6.32     252.08       8.37   -2.99032     0.6388      1.209    
L       6.82     251.55       5.13   -2.18562     0.5526      1.170    
L       7.08     248.80      15.10   -1.72640     0.9165      1.578    
L       7.15     252.75      10.36   -3.15863      1.299      1.865    
PSL tau:     0.0  storm: 99E     245.7       8.7
   0    2
L       2.91     248.13      10.35    1008.58     0.3609E-01 0.6409E-01
L       7.12     252.85       7.89    1009.20     0.4247E-01 0.8594E-01
SPD tau:     0.0  storm: 08W     126.2      33.9
  19   18
H       8.05     130.36      41.25    10.8519      4.566      5.596    
H       7.95     124.32      41.71    3.19820      1.367      1.706    
H       7.57     123.10      41.06    3.65850     0.4475      1.180    
H       7.40     134.86      36.01    9.19029      1.074      4.971    
H       7.35     127.91      41.12    5.92627      3.119      6.841    
H       7.22     134.91      34.17    10.5670      5.402      12.11    
H       6.28     132.47      30.54    17.6906     0.2653      1.906    
H       6.08     133.53      34.02    6.92187     0.9106      9.319    
H       6.02     132.77      36.64    13.1334      2.054      3.619    
H       5.86     126.63      39.75    5.19222      2.139      2.921    
H       5.65     124.08      39.29    10.6293      7.012      8.426    
H       5.53     132.35      31.93    17.7486      1.948      4.775    
H       5.30     121.40      30.49    5.80438      1.336      8.567    
H       5.15     131.17      30.92    18.0060      5.176      13.93    
H       4.97     122.69      29.93    6.50927      1.871      4.231    
H       4.87     132.03      33.42    15.8566      5.046      21.18    
H       4.59     126.94      38.45    6.95436     0.8862      4.073    
H       3.58     130.42      34.71    18.8177      8.001      9.807    
H       1.00     127.12      33.25    36.9344      10.43      12.87    
L       0.05     126.16      33.86    13.6490      12.23      21.23    
L       2.45     128.21      35.71    4.75631      7.235      8.444    
L       4.09     128.88      37.36    2.66547      2.028      3.840    
L       4.27     130.87      32.19    2.21708      8.222      12.65    
L       4.35     121.97      31.39   0.398932     0.6372      3.695    
L       4.37     131.26      32.81    1.28790      10.04      11.35    
L       4.74     125.53      38.61    2.74840      1.702      5.138    
L       5.01     128.03      38.69    3.15430     0.8732      4.080    
L       5.04     130.46      30.38    10.2860      3.343      9.235    
L       5.34     122.71      38.44    2.82772      2.980      6.035    
L       5.40     132.69      34.38    2.36993      1.208      1.803    
L       5.86     127.59      39.66    2.48140     0.9611      2.296    
L       6.25     133.67      34.94    2.33235      1.041      3.921    
L       6.47     133.97      33.51   0.384294     0.8945      10.91    
L       6.76     128.57      40.39   0.473338      2.191      5.354    
L       6.81     124.06      40.50   0.986626     0.3209      3.413    
L       7.25     125.90      41.15   0.761071      1.078      2.026    
L       9.16     134.31      40.40   0.607405     0.9298      2.338    
VRT tau:     0.0  storm: 08W     126.2      33.9
  18   19
H       8.91     133.58      40.61  -0.211665     0.5770      1.401    
H       8.80     132.53      41.13  -0.127716     0.9341      1.963    
H       8.02     129.49      41.49    10.0763     0.5606      14.37    
H       7.70     123.55      41.31    2.46959      1.984      4.308    
H       7.50     127.44      41.34    3.15646      4.043      8.236    
H       7.48     135.01      35.83    6.79771      2.201      7.258    
H       6.92     133.57      37.36    1.89249      2.304      4.313    
H       6.27     122.77      39.53    5.59676      2.554      4.387    
H       5.59     128.67      39.13    6.42403      2.403      3.639    
H       4.72     130.03      30.48   0.109570     0.1784      1.510    
H       4.66     131.70      33.09    7.15195      11.25      14.45    
H       4.37     122.88      30.55    4.32907     0.8708      3.409    
H       4.26     124.96      38.04    5.29660      1.015      6.332    
H       4.02     130.64      35.58    11.4476      6.295      15.61    
H       3.94     121.54      33.24    2.12724     0.2387     0.9513    
H       3.86     127.38      37.64    4.78635      10.13      19.37    
H       3.16     124.36      31.14    5.34741      2.196      3.886    
H       0.11     126.33      33.92    62.0772      19.75      41.18    
L       1.75     127.06      32.30   -9.72629      15.35      19.83    
L       2.60     125.20      36.37   -7.25108      4.719      7.335    
L       2.96     126.54      36.85   -9.20221      2.410      4.751    
L       2.97     122.91      32.77   -1.30882      1.890      3.353    
L       3.40     126.87      30.55   -3.69513     0.8934      2.693    
L       3.60     130.48      33.41   -8.17140      1.131      8.508    
L       3.91     128.18      37.46   -8.11190      10.32      17.07    
L       4.72     123.33      38.01   -2.88475      1.852      3.415    
L       5.03     121.35      37.01   -2.97581     0.2420      3.081    
L       5.04     131.18      36.89   -10.1780      1.435      2.772    
L       5.29     132.55      34.54   -10.8893      2.150      11.48    
L       6.00     126.40      39.90   -6.88821      3.859      9.331    
L       6.69     134.13      32.95   -4.75806     0.6972      2.654    
L       6.73     125.64      40.61   -5.46773      3.887      7.789    
L       7.28     131.05      40.06   -5.76973     0.2915      1.265    
L       7.32     122.03      40.43   -2.04873     0.7938      4.461    
L       7.76     128.37      41.47   -2.48087      4.846      13.14    
L       7.95     134.26      38.47   -5.68353      1.150      4.045    
L       9.02     133.36      40.90  -0.456156     0.5095      1.283    
PSL tau:     0.0  storm: 08W     126.2      33.9
   1    2
H       8.70     133.50      40.38    1013.45     0.6000E-01 0.1217    
L       0.43     125.69      33.97    999.084     0.3517     0.8523    
L       5.28     132.04      36.16    1011.19     0.1005     0.1745    
SPD tau:     0.0  storm: 09W     129.8      16.0
  11   17
H       8.38     137.58      12.36    11.6043     0.7730      2.008    
H       6.85     136.86      17.09    15.8835     0.5404      1.165    
H       5.45     132.22      20.95    25.9911     0.6764      1.018    
H       5.33     126.36      20.21    9.88837     0.6110     0.9629    
H       5.03     126.05      12.52    10.6926     0.2242      1.847    
H       3.34     128.81      19.20    8.03393      2.513      3.266    
H       3.11     133.04      16.14    19.5136      1.409      4.584    
H       2.49     129.03      13.62    11.5094     0.5888      1.286    
