BB, 01, 2010051712, 03, ECM2, 108, 183N,  840E,  32,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000,  997,   73,  95,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      24,     379,     487, Y, 10, DT, -999
BB, 01, 2010051712, 03, ECM2, 114, 190N,  851E,  32,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000,  999,   97, 131,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      33,     582,     481, Y, 10, DT, -999
BB, 01, 2010051712, 03, ECM2, 120, 201N,  862E,  30,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000,  997,   94, 125,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      52,     346,     475, Y, 10, DT, -999
BB, 01, 2010051712, 03, ECM2, 126, 216N,  868E,  29,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000, 1000,  100, 156,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      40,     443,     386, Y, 10, DT, -999
BB, 01, 2010051712, 03, ECM2, 132, 223N,  870E,  25,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000,  999,  104, 150,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      24,     288,     356, Y, 10, DT, -999
BB, 01, 2010051712, 03, ECM2, 138, 229N,  873E,  22,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000, 1004,  868, 148,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      55,     764,     255, Y, 10, DT, -999
BB, 01, 2010051712, 03, ECM2, 144, 233N,  878E,  18,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99, 153,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      37,     576,      51, Y, 10, DT, -999
BB, 01, 2010051712, 03, ECM2, 150, 239N,  879E,  14,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99, 130,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      48,    1754,     126, Y, 10, DT, -999
BB, 01, 2010051712, 03, ECM2, 156, 246N,  884E,  15,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99,  91,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     131,    1474,     278, Y, 10, DT, -999
BB, 01, 2010051712, 03, ECM2, 162, 245N,  883E,  15,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99, 151,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -99,    1380,     305, Y, 10, DT, -999
BB, 01, 2010051712, 03, ECM2, 168, 251N,  883E,  10,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99, 110,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -89,    1315,      74, Y, 10, DT, -999
BB, 01, 2010051712, 03, ECM2, 174, 255N,  883E,   9,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99,  98,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,    -137,    1624,       9, Y, 10, DT, -999
BB, 01, 2010051712, 03, ECM2, 180, 259N,  886E,   9,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99, 153,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     235,    2094,    -361, Y, 10, DT, -999
BB, 01, 2010051712, 03, ECM2, 186, 260N,  887E,  10,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99, 147,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     310,    1625,    -453, Y, 10, DT, -999
